group,strategy,rerank_k,nprobe,nlist,threads,ef,recall,latency_us
flat,0,-,-,256,4,64,0.99995,5761.17
flat,1,-,-,256,1,64,0.99995,5959.90
flat,2,-,-,256,1,64,0.99995,6300.65
flat,1,-,-,256,2,64,0.99995,3002.66
flat,2,-,-,256,2,64,0.99995,3294.63
flat,1,-,-,256,4,64,0.99995,1838.60
flat,2,-,-,256,4,64,0.99995,1822.45
flat,1,-,-,256,8,64,0.99995,1167.39
flat,2,-,-,256,8,64,0.99995,1443.81
pq,3,50,-,256,4,64,0.5669,1085.14
pq,4,50,-,256,4,64,0.5669,1105.42
pq,3,100,-,256,4,64,0.716652,1132.55
pq,4,100,-,256,4,64,0.716652,1141.87
pq,3,200,-,256,4,64,0.839054,1225.63
pq,4,200,-,256,4,64,0.839054,1257.08
pq,3,500,-,256,4,64,0.946104,1475.09
pq,4,500,-,256,4,64,0.946104,1486.28
pq,3,1000,-,256,4,64,0.980602,1870.04
pq,4,1000,-,256,4,64,0.980602,1860.94
pq,5,500,-,256,1,64,0.946104,1506.33
pq,6,500,-,256,1,64,0.946104,1495.14
pq,5,500,-,256,2,64,0.980452,872.27
pq,6,500,-,256,2,64,0.980452,942.90
pq,5,500,-,256,4,64,0.995001,566.57
pq,6,500,-,256,4,64,0.995001,656.75
pq,5,500,-,256,8,64,0.99915,488.02
pq,6,500,-,256,8,64,0.99915,793.80
ivf,7,-,4,256,4,64,0.800152,92.22
ivf,7,-,8,256,4,64,0.898553,174.50
ivf,7,-,16,256,4,64,0.958303,336.28
ivf,7,-,32,256,4,64,0.987552,645.48
ivf,7,-,64,256,4,64,0.9974,1272.84
ivf,8,-,16,256,1,64,0.958303,332.34
ivf,9,-,16,256,1,64,0.958303,371.01
ivf,8,-,16,256,2,64,0.958303,228.99
ivf,9,-,16,256,2,64,0.958303,243.51
ivf,8,-,16,256,4,64,0.958303,149.32
ivf,9,-,16,256,4,64,0.958303,185.94
ivf,8,-,16,256,8,64,0.958303,133.01
ivf,9,-,16,256,8,64,0.958303,183.22
ivf,8,-,4,256,4,64,0.800152,61.56
ivf,9,-,4,256,4,64,0.800152,98.05
ivf,8,-,8,256,4,64,0.898553,105.79
ivf,9,-,8,256,4,64,0.898553,131.59
ivf,8,-,16,256,4,64,0.958303,144.14
ivf,9,-,16,256,4,64,0.958303,185.15
ivf,8,-,32,256,4,64,0.987552,253.13
ivf,9,-,32,256,4,64,0.987552,318.99
ivf,8,-,64,256,4,64,0.9974,481.53
ivf,9,-,64,256,4,64,0.9974,526.23
ivfpq,10,500,4,256,4,64,0.783602,255.67
ivfpq,13,500,4,256,4,64,0.794452,347.17
ivfpq,10,500,8,256,4,64,0.865403,348.83
ivfpq,13,500,8,256,4,64,0.884704,495.80
ivfpq,10,500,16,256,4,64,0.910653,454.86
ivfpq,13,500,16,256,4,64,0.937604,781.17
ivfpq,10,500,32,256,4,64,0.931104,631.70
ivfpq,13,500,32,256,4,64,0.960104,1197.79
ivfpq,10,500,64,256,4,64,0.935904,840.20
ivfpq,13,500,64,256,4,64,0.966803,1893.51
ivfpq,11,500,16,256,1,64,0.910653,439.05
ivfpq,12,500,16,256,1,64,0.910653,472.05
ivfpq,14,500,16,256,1,64,0.937854,783.35
ivfpq,15,500,16,256,1,64,0.936054,829.68
ivfpq,11,500,16,256,2,64,0.942153,340.11
ivfpq,12,500,16,256,2,64,0.941903,379.10
ivfpq,14,500,16,256,2,64,0.954603,529.97
ivfpq,15,500,16,256,2,64,0.953753,605.72
ivfpq,11,500,16,256,4,64,0.953403,264.25
ivfpq,12,500,16,256,4,64,0.953603,328.30
ivfpq,14,500,16,256,4,64,0.957603,412.80
ivfpq,15,500,16,256,4,64,0.957253,420.31
ivfpq,11,500,16,256,8,64,0.956003,272.69
ivfpq,12,500,16,256,8,64,0.955653,318.82
ivfpq,14,500,16,256,8,64,0.957953,379.38
ivfpq,15,500,16,256,8,64,0.957903,375.04
hnsw,16,-,-,256,4,16,0.870804,122.06
hnsw,17,-,-,256,4,16,0.99635,284.57
hnsw,18,-,-,256,4,16,0.99635,342.56
hnsw,16,-,-,256,4,32,0.945903,193.91
hnsw,17,-,-,256,4,32,0.99635,271.21
hnsw,18,-,-,256,4,32,0.99635,321.52
hnsw,16,-,-,256,4,64,0.980802,315.70
hnsw,17,-,-,256,4,64,0.99635,288.18
hnsw,18,-,-,256,4,64,0.99635,336.50
hnsw,16,-,-,256,4,128,0.995201,519.43
hnsw,17,-,-,256,4,128,0.99635,270.89
hnsw,18,-,-,256,4,128,0.99635,318.01
