suite,strategy,name,P,omp,part,nprobe,nlist,rerank_k,pqm,ef,topk,test_number,recall,latency_us,qps,n_runs,best_of
scaling,0,Serial-IVF-baseline,1,4,block,16,256,500,8,64,10,2000,0.958303,463.329,2158.29,5,5
scaling,1,MPI-IVF-block-gather,1,4,block,16,256,500,8,64,10,2000,0.958303,433.743,2305.51,5,5
scaling,1,MPI-IVF-block-gather,2,4,block,16,256,500,8,64,10,2000,0.961103,227.807,4389.68,5,5
scaling,1,MPI-IVF-block-gather,4,4,block,16,256,500,8,64,10,2000,0.962853,137.292,7283.75,5,5
scaling,1,MPI-IVF-block-gather,8,4,block,16,256,500,8,64,10,2000,0.968003,315.552,3169.05,5,5
scaling,3,MPI-IVF-reduce,1,4,block,16,256,500,8,64,10,2000,0.958303,442.639,2259.18,5,5
scaling,3,MPI-IVF-reduce,2,4,block,16,256,500,8,64,10,2000,0.961103,218.47,4577.29,5,5
scaling,3,MPI-IVF-reduce,4,4,block,16,256,500,8,64,10,2000,0.962853,167.89,5956.28,5,5
scaling,3,MPI-IVF-reduce,8,4,block,16,256,500,8,64,10,2000,0.968003,1054.15,948.63,5,5
scaling,5,MPI-IVF-batch,1,4,block,16,256,500,8,64,10,2000,0.9583,460.445,2171.81,5,5
scaling,5,MPI-IVF-batch,2,4,block,16,256,500,8,64,10,2000,0.9611,230.755,4333.59,5,5
scaling,5,MPI-IVF-batch,4,4,block,16,256,500,8,64,10,2000,0.96285,109.912,9098.19,5,5
scaling,5,MPI-IVF-batch,8,4,block,16,256,500,8,64,10,2000,0.968,68.263,14649.1,5,5
scaling,6,MPI-IVF-overlap,1,4,block,16,256,500,8,64,10,2000,0.9583,469.134,2131.59,5,5
scaling,6,MPI-IVF-overlap,2,4,block,16,256,500,8,64,10,2000,0.9611,242.499,4123.72,5,5
scaling,6,MPI-IVF-overlap,4,4,block,16,256,500,8,64,10,2000,0.96285,124.859,8009.03,5,5
scaling,6,MPI-IVF-overlap,8,4,block,16,256,500,8,64,10,2000,0.968,80.665,12396.9,5,5
merge,1,MPI-IVF-block-gather,1,4,block,16,256,500,8,64,10,2000,0.958303,516.179,1937.31,5,5
