suite,strategy,name,P,omp,part,nprobe,nlist,rerank_k,pqm,ef,topk,test_number,recall,latency_us,qps,n_runs,best_of
scaling,0,Serial-IVF-baseline,1,4,block,16,256,500,8,64,10,2000,0.958303,418.224,2391.07,5,5
scaling,1,MPI-IVF-block-gather,1,4,block,16,256,500,8,64,10,2000,0.958303,411.789,2428.43,5,5
scaling,1,MPI-IVF-block-gather,2,4,block,16,256,500,8,64,10,2000,0.961103,242.945,4116.16,5,5
scaling,1,MPI-IVF-block-gather,4,4,block,16,256,500,8,64,10,2000,0.962853,230.118,4345.59,5,5
scaling,1,MPI-IVF-block-gather,8,4,block,16,256,500,8,64,10,2000,0.968003,2664.57,375.3,5,5
scaling,3,MPI-IVF-reduce,1,4,block,16,256,500,8,64,10,2000,0.958303,420.601,2377.55,5,5
scaling,3,MPI-IVF-reduce,2,4,block,16,256,500,8,64,10,2000,0.961103,230.263,4342.86,5,5
scaling,3,MPI-IVF-reduce,4,4,block,16,256,500,8,64,10,2000,0.962853,210.227,4756.77,5,5
scaling,3,MPI-IVF-reduce,8,4,block,16,256,500,8,64,10,2000,0.968003,1933.98,517.07,5,5
scaling,5,MPI-IVF-batch,1,4,block,16,256,500,8,64,10,2000,0.9583,371.613,2690.97,5,5
scaling,5,MPI-IVF-batch,2,4,block,16,256,500,8,64,10,2000,0.9611,218.363,4579.53,5,5
scaling,5,MPI-IVF-batch,4,4,block,16,256,500,8,64,10,2000,0.96285,115.662,8645.88,5,5
scaling,5,MPI-IVF-batch,8,4,block,16,256,500,8,64,10,2000,0.968,83.026,12044.4,5,5
scaling,6,MPI-IVF-overlap,1,4,block,16,256,500,8,64,10,2000,0.9583,384.197,2602.83,5,5
scaling,6,MPI-IVF-overlap,2,4,block,16,256,500,8,64,10,2000,0.9611,220.443,4536.32,5,5
scaling,6,MPI-IVF-overlap,4,4,block,16,256,500,8,64,10,2000,0.96285,126.637,7896.59,5,5
scaling,6,MPI-IVF-overlap,8,4,block,16,256,500,8,64,10,2000,0.968,76.362,13095.6,5,5
merge,1,MPI-IVF-block-gather,1,4,block,16,256,500,8,64,10,2000,0.958303,350.382,2854.03,5,5
merge,1,MPI-IVF-block-gather,2,4,block,16,256,500,8,64,10,2000,0.961103,244.438,4091.03,5,5
merge,1,MPI-IVF-block-gather,4,4,block,16,256,500,8,64,10,2000,0.962853,133.174,7508.95,5,5
merge,1,MPI-IVF-block-gather,8,4,block,16,256,500,8,64,10,2000,0.968003,238.77,4188.12,5,5
merge,3,MPI-IVF-reduce,1,4,block,16,256,500,8,64,10,2000,0.958303,365.7,2734.48,5,5
merge,3,MPI-IVF-reduce,2,4,block,16,256,500,8,64,10,2000,0.961103,223.064,4483.01,5,5
merge,3,MPI-IVF-reduce,4,4,block,16,256,500,8,64,10,2000,0.962853,155.228,6442.14,5,5
merge,3,MPI-IVF-reduce,8,4,block,16,256,500,8,64,10,2000,0.968003,356.302,2806.6,5,5
comm,1,MPI-IVF-block-gather,1,4,block,16,256,500,8,64,10,2000,0.958303,362.948,2755.21,5,5
comm,1,MPI-IVF-block-gather,2,4,block,16,256,500,8,64,10,2000,0.961103,215.592,4638.4,5,5
comm,1,MPI-IVF-block-gather,4,4,block,16,256,500,8,64,10,2000,0.962853,140.372,7123.9,5,5
comm,1,MPI-IVF-block-gather,8,4,block,16,256,500,8,64,10,2000,0.968003,170.35,5870.27,5,5
comm,5,MPI-IVF-batch,1,4,block,16,256,500,8,64,10,2000,0.9583,364.272,2745.2,5,5
comm,5,MPI-IVF-batch,2,4,block,16,256,500,8,64,10,2000,0.9611,189.536,5276.06,5,5
comm,5,MPI-IVF-batch,4,4,block,16,256,500,8,64,10,2000,0.96285,113.297,8826.4,5,5
comm,5,MPI-IVF-batch,8,4,block,16,256,500,8,64,10,2000,0.968,68.829,14528.8,5,5
comm,6,MPI-IVF-overlap,1,4,block,16,256,500,8,64,10,2000,0.9583,422.198,2368.56,5,5
comm,6,MPI-IVF-overlap,2,4,block,16,256,500,8,64,10,2000,0.9611,203.694,4909.32,5,5
comm,6,MPI-IVF-overlap,4,4,block,16,256,500,8,64,10,2000,0.96285,121.358,8240.08,5,5
comm,6,MPI-IVF-overlap,8,4,block,16,256,500,8,64,10,2000,0.968,77.021,12983.5,5,5
partition,1,MPI-IVF-block-gather,1,4,block,16,256,500,8,64,10,2000,0.958303,392.295,2549.1,5,5
partition,1,MPI-IVF-block-gather,2,4,block,16,256,500,8,64,10,2000,0.961103,240.038,4166.0,5,5
partition,1,MPI-IVF-block-gather,4,4,block,16,256,500,8,64,10,2000,0.962853,151.547,6598.61,5,5
partition,1,MPI-IVF-block-gather,8,4,block,16,256,500,8,64,10,2000,0.968003,760.242,1315.37,5,5
partition,2,MPI-IVF-cyclic-gather,1,4,cyclic,16,256,500,8,64,10,2000,0.958303,368.909,2710.7,5,5
partition,2,MPI-IVF-cyclic-gather,2,4,cyclic,16,256,500,8,64,10,2000,0.961752,236.602,4226.5,5,5
partition,2,MPI-IVF-cyclic-gather,4,4,cyclic,16,256,500,8,64,10,2000,0.964453,152.122,6573.67,5,5
partition,2,MPI-IVF-cyclic-gather,8,4,cyclic,16,256,500,8,64,10,2000,0.968803,241.852,4134.77,5,5
hybrid,4,MPI-IVF-omp,1,1,block,16,256,500,8,64,10,2000,0.958303,404.634,2471.37,5,5
hybrid,4,MPI-IVF-omp,1,2,block,16,256,500,8,64,10,2000,0.958303,248.449,4024.96,5,5
hybrid,4,MPI-IVF-omp,1,4,block,16,256,500,8,64,10,2000,0.958303,1145.65,872.86,5,5
hybrid,4,MPI-IVF-omp,1,8,block,16,256,500,8,64,10,2000,0.958303,6847.55,146.04,5,5
hybrid,4,MPI-IVF-omp,2,2,block,16,256,500,8,64,10,2000,0.961103,252.022,3967.91,5,5
hybrid,4,MPI-IVF-omp,2,4,block,16,256,500,8,64,10,2000,0.961103,199.857,5003.58,5,5
hybrid,4,MPI-IVF-omp,4,2,block,16,256,500,8,64,10,2000,0.962853,134.799,7418.45,5,5
hybrid,1,MPI-IVF-block-gather,1,4,block,16,256,500,8,64,10,2000,0.958303,457.87,2184.03,5,5
hybrid,1,MPI-IVF-block-gather,2,4,block,16,256,500,8,64,10,2000,0.961103,223.462,4475.02,5,5
hybrid,1,MPI-IVF-block-gather,4,4,block,16,256,500,8,64,10,2000,0.962853,152.165,6571.83,5,5
hybrid,1,MPI-IVF-block-gather,8,4,block,16,256,500,8,64,10,2000,0.968003,377.993,2645.55,5,5
pq,7,MPI-IVFPQ-m1,1,4,block,16,256,500,8,64,10,2000,0.910653,465.344,2148.95,5,5
pq,7,MPI-IVFPQ-m1,2,4,block,16,256,500,8,64,10,2000,0.949304,357.717,2795.5,5,5
pq,7,MPI-IVFPQ-m1,4,4,block,16,256,500,8,64,10,2000,0.961802,289.398,3455.44,5,5
pq,7,MPI-IVFPQ-m1,8,4,block,16,256,500,8,64,10,2000,0.968003,479.871,2083.89,5,5
pq,9,MPI-IVFPQ-m2,1,4,block,16,256,500,8,64,10,2000,0.937454,791.974,1262.67,5,5
pq,9,MPI-IVFPQ-m2,2,4,block,16,256,500,8,64,10,2000,0.948653,712.718,1403.08,5,5
pq,9,MPI-IVFPQ-m2,4,4,block,16,256,500,8,64,10,2000,0.962802,714.713,1399.16,5,5
pq,9,MPI-IVFPQ-m2,8,4,block,16,256,500,8,64,10,2000,0.968003,876.569,1140.81,5,5
pq,8,MPI-IVFPQ-m1-omp,2,4,block,16,256,500,8,64,10,2000,0.960853,312.0,3205.13,5,5
pq,10,MPI-IVFPQ-m2-omp,2,4,block,16,256,500,8,64,10,2000,0.961103,412.758,2422.73,5,5
hnsw,11,MPI-HNSW,1,4,block,16,256,500,8,64,10,2000,0.981002,420.848,2376.15,5,5
hnsw,11,MPI-HNSW,2,4,block,16,256,500,8,64,10,2000,0.992151,609.096,1641.78,5,5
hnsw,11,MPI-HNSW,4,4,block,16,256,500,8,64,10,2000,0.9969,601.219,1663.29,5,5
hnsw,11,MPI-HNSW,8,4,block,16,256,500,8,64,10,2000,0.9987,803.243,1244.95,5,5
hnsw,12,MPI-HNSW-omp,2,4,block,16,256,500,8,64,10,2000,0.99875,424.447,2356.01,5,5
hnsw,13,MPI-IVF-HNSW,1,4,block,16,256,500,8,64,10,2000,0.958003,2009.55,497.62,5,5
hnsw,13,MPI-IVF-HNSW,2,4,block,16,256,500,8,64,10,2000,0.958003,1420.69,703.88,5,5
hnsw,13,MPI-IVF-HNSW,4,4,block,16,256,500,8,64,10,2000,0.958003,1321.66,756.62,5,5
hnsw,13,MPI-IVF-HNSW,8,4,block,16,256,500,8,64,10,2000,0.958003,1360.17,735.2,5,5
hnsw,14,HNSW-on-HNSW,1,4,block,16,256,500,8,64,10,2000,0.958003,2040.03,490.19,5,5
hnsw,14,HNSW-on-HNSW,2,4,block,16,256,500,8,64,10,2000,0.958003,1382.13,723.52,5,5
hnsw,14,HNSW-on-HNSW,4,4,block,16,256,500,8,64,10,2000,0.958003,1259.87,793.74,5,5
hnsw,14,HNSW-on-HNSW,8,4,block,16,256,500,8,64,10,2000,0.958003,1434.21,697.25,5,5
nprobe,1,MPI-IVF-block-gather,1,4,block,4,256,500,8,64,10,2000,0.800152,98.364,10166.3,5,5
nprobe,1,MPI-IVF-block-gather,1,4,block,8,256,500,8,64,10,2000,0.898553,183.092,5461.75,5,5
nprobe,1,MPI-IVF-block-gather,1,4,block,16,256,500,8,64,10,2000,0.958303,374.113,2672.99,5,5
nprobe,1,MPI-IVF-block-gather,1,4,block,32,256,500,8,64,10,2000,0.987552,726.068,1377.28,5,5
nprobe,1,MPI-IVF-block-gather,1,4,block,64,256,500,8,64,10,2000,0.9974,1413.8,707.32,5,5
nprobe_pq,7,MPI-IVFPQ-m1,1,4,block,4,256,500,8,64,10,2000,0.783602,247.992,4032.38,5,5
nprobe_pq,7,MPI-IVFPQ-m1,1,4,block,8,256,500,8,64,10,2000,0.865403,326.64,3061.47,5,5
nprobe_pq,7,MPI-IVFPQ-m1,1,4,block,16,256,500,8,64,10,2000,0.910653,449.116,2226.59,5,5
nprobe_pq,7,MPI-IVFPQ-m1,1,4,block,32,256,500,8,64,10,2000,0.931104,612.773,1631.92,5,5
nprobe_pq,7,MPI-IVFPQ-m1,1,4,block,64,256,500,8,64,10,2000,0.935904,855.511,1168.89,5,5
nprobe_pq,9,MPI-IVFPQ-m2,1,4,block,4,256,500,8,64,10,2000,0.794752,316.637,3158.2,5,5
nprobe_pq,9,MPI-IVFPQ-m2,1,4,block,8,256,500,8,64,10,2000,0.886403,472.233,2117.6,5,5
nprobe_pq,9,MPI-IVFPQ-m2,1,4,block,16,256,500,8,64,10,2000,0.937454,729.884,1370.08,5,5
nprobe_pq,9,MPI-IVFPQ-m2,1,4,block,32,256,500,8,64,10,2000,0.960204,1152.25,867.87,5,5
nprobe_pq,9,MPI-IVFPQ-m2,1,4,block,64,256,500,8,64,10,2000,0.967353,1924.51,519.61,5,5
ef,11,MPI-HNSW,1,4,block,16,256,500,8,16,10,2000,0.873454,125.026,7998.34,5,5
ef,11,MPI-HNSW,1,4,block,16,256,500,8,32,10,2000,0.947704,241.198,4145.97,5,5
ef,11,MPI-HNSW,1,4,block,16,256,500,8,64,10,2000,0.981002,402.297,2485.73,5,5
ef,11,MPI-HNSW,1,4,block,16,256,500,8,128,10,2000,0.994901,612.6,1632.39,5,5
ef,11,MPI-HNSW,1,4,block,16,256,500,8,200,10,2000,0.99805,864.496,1156.74,5,5
topk,1,MPI-IVF-block-gather,4,4,block,16,256,500,8,64,10,2000,0.962853,143.516,6967.89,5,5
topk,1,MPI-IVF-block-gather,4,4,block,16,256,500,8,64,20,2000,0.962853,140.505,7117.21,5,5
topk,1,MPI-IVF-block-gather,4,4,block,16,256,500,8,64,50,2000,0.962853,176.396,5669.06,5,5
topk,1,MPI-IVF-block-gather,8,4,block,16,256,500,8,64,10,2000,0.968003,210.729,4745.44,5,5
topk,1,MPI-IVF-block-gather,8,4,block,16,256,500,8,64,20,2000,0.968003,200.443,4988.95,5,5
topk,1,MPI-IVF-block-gather,8,4,block,16,256,500,8,64,50,2000,0.968003,318.453,3140.19,5,5
