strategy,name,nlist,nprobe,group_mode,group_name,group_B,rerank_k,PQ_M,PQ_KSUB,M,k,reps,recall,cpu_recall,gpu_ms,gpu_us_per_query,cpu_ms,speedup,overlap
0,Flat-GPU+CPU,64,16,-1,-,512,100,8,256,64,10,5,1.0000,1.0000,11.890,185.79,32.838,2.762,0.000
0,Flat-GPU+CPU,64,16,-1,-,512,100,8,256,256,10,5,1.0000,1.0000,39.221,153.21,115.302,2.940,0.000
0,Flat-GPU+CPU,64,16,-1,-,512,100,8,256,512,10,5,1.0000,1.0000,77.507,151.38,227.312,2.933,0.000
0,Flat-GPU+CPU,64,16,-1,-,512,100,8,256,1024,10,5,0.9999,0.9999,141.180,137.87,447.432,3.169,0.000
0,Flat-GPU+CPU,64,16,-1,-,512,100,8,256,2000,10,5,1.0000,1.0000,255.168,127.58,906.477,3.552,0.000
1,Flat-GPU+GPU,64,16,-1,-,512,100,8,256,64,10,5,1.0000,1.0000,0.714,11.16,33.096,46.339,0.000
1,Flat-GPU+GPU,64,16,-1,-,512,100,8,256,256,10,5,1.0000,1.0000,6.776,26.47,122.859,18.132,0.000
1,Flat-GPU+GPU,64,16,-1,-,512,100,8,256,512,10,5,1.0000,1.0000,12.301,24.03,224.338,18.237,0.000
1,Flat-GPU+GPU,64,16,-1,-,512,100,8,256,1024,10,5,1.0000,0.9999,25.914,25.31,453.433,17.498,0.000
1,Flat-GPU+GPU,64,16,-1,-,512,100,8,256,2000,10,5,1.0000,1.0000,50.212,25.11,877.825,17.482,0.000
2,IVF-exact,32,16,0,sequential,256,100,8,256,2000,10,5,0.9965,0.9965,39.277,19.64,502.425,12.792,0.500
2,IVF-exact,32,16,0,sequential,512,100,8,256,2000,10,5,0.9965,0.9965,28.773,14.39,500.409,17.392,0.500
2,IVF-exact,32,16,0,sequential,1024,100,8,256,2000,10,5,0.9965,0.9965,28.367,14.18,495.365,17.463,0.500
2,IVF-exact,32,16,1,by-primary,256,100,8,256,2000,10,5,0.9965,0.9965,44.578,22.29,500.152,11.220,0.500
2,IVF-exact,32,16,1,by-primary,512,100,8,256,2000,10,5,0.9965,0.9965,31.080,15.54,501.220,16.127,0.500
2,IVF-exact,32,16,1,by-primary,1024,100,8,256,2000,10,5,0.9965,0.9965,24.806,12.40,495.889,19.991,0.500
2,IVF-exact,32,16,2,by-probeset,256,100,8,256,2000,10,5,0.9965,0.9965,38.190,19.10,497.738,13.033,0.516
2,IVF-exact,32,16,2,by-probeset,512,100,8,256,2000,10,5,0.9965,0.9965,34.295,17.15,494.348,14.414,0.508
2,IVF-exact,32,16,2,by-probeset,1024,100,8,256,2000,10,5,0.9965,0.9965,27.771,13.89,508.960,18.327,0.508
2,IVF-exact,32,16,3,query-kmeans,256,100,8,256,2000,10,5,0.9965,0.9965,49.922,24.96,509.142,10.199,0.501
2,IVF-exact,32,16,3,query-kmeans,512,100,8,256,2000,10,5,0.9965,0.9965,35.690,17.85,496.131,13.901,0.500
2,IVF-exact,32,16,3,query-kmeans,1024,100,8,256,2000,10,5,0.9965,0.9965,33.437,16.72,495.149,14.808,0.500
2,IVF-exact,64,16,0,sequential,256,100,8,256,2000,10,5,0.9910,0.9910,64.021,32.01,248.835,3.887,0.250
