method,label,recall,us_per_query,speedup,qps
CPU-IVF,nprobe=8,0.9024,26.9,57.98,
CPU-IVF,nprobe=16,0.9588,42.9,36.46,
CPU-IVF,nprobe=32,0.9867,74.2,21.05,
CPU-IVF-PQ,"nprobe=8,rk=200",0.8903,57.0,27.40,
CPU-IVF-PQ,"nprobe=8,rk=500",0.9017,80.6,19.39,
CPU-IVF-PQ,"nprobe=16,rk=200",0.9409,74.0,21.11,
CPU-IVF-PQ,"nprobe=16,rk=500",0.9579,113.1,13.81,
CPU-IVF-PQ,"nprobe=32,rk=200",0.9646,99.3,15.73,
CPU-IVF-PQ,"nprobe=32,rk=500",0.9853,154.2,10.13,
GPU-flat,exact,1.0000,25.1,62.32,
LSH-CPU,"K=64,rk=200",0.5373,247.9,6.30,
LSH-CPU,"K=64,rk=500",0.6938,544.0,2.87,
LSH-CPU,"K=64,rk=1000",0.7977,1020.7,1.53,
LSH-CPU,"K=128,rk=200",0.7672,277.7,5.63,
LSH-CPU,"K=128,rk=500",0.8865,595.2,2.63,
LSH-CPU,"K=128,rk=1000",0.9441,1073.1,1.46,
LSH-CPU,"K=256,rk=200",0.9261,309.2,5.05,
LSH-CPU,"K=256,rk=500",0.9767,620.6,2.52,
LSH-CPU,"K=256,rk=1000",0.9921,1116.0,1.40,
LSH-GPU,"K=64,rk=200",0.5984,8.2,189.90,
LSH-GPU,"K=64,rk=500",0.7422,9.8,159.27,
LSH-GPU,"K=64,rk=1000",0.8353,12.4,125.86,
LSH-GPU,"K=128,rk=200",0.7970,8.3,188.24,
LSH-GPU,"K=128,rk=500",0.9049,8.3,189.23,
LSH-GPU,"K=128,rk=1000",0.9540,9.8,159.53,
LSH-GPU,"K=256,rk=200",0.9355,7.3,213.14,
LSH-GPU,"K=256,rk=500",0.9803,8.7,178.91,
LSH-GPU,"K=256,rk=1000",0.9935,10.9,143.58,
hetero-exact,gpu_frac=1.00,1.0000,24.9,62.73,40148
hetero-exact,gpu_frac=0.96,0.9984,24.6,63.54,40668
hetero-exact,gpu_frac=0.94,0.9970,24.4,64.06,41000
hetero-exact,gpu_frac=0.92,0.9959,24.2,64.70,41405
hetero-exact,gpu_frac=0.90,0.9953,23.9,65.44,41879
hetero-exact,gpu_frac=0.80,0.9916,21.2,73.82,47244
hetero-exact,gpu_frac=0.60,0.9825,17.7,88.33,56534
hetero-exact,gpu_frac=0.40,0.9752,17.1,91.15,58339
hetero-exact,gpu_frac=0.00,0.9588,27.3,57.29,36665
hetero-LSH,gpu_frac=1.00,0.9803,9.3,167.70,107330
hetero-LSH,gpu_frac=0.96,0.9793,9.2,170.62,109194
hetero-LSH,gpu_frac=0.94,0.9781,9.3,168.21,107654
hetero-LSH,gpu_frac=0.92,0.9775,9.0,173.73,111185
hetero-LSH,gpu_frac=0.90,0.9772,8.9,175.58,112369
hetero-LSH,gpu_frac=0.80,0.9757,8.3,187.99,120317
hetero-LSH,gpu_frac=0.60,0.9705,11.5,135.44,86679
hetero-LSH,gpu_frac=0.40,0.9668,16.4,95.23,60946
hetero-LSH,gpu_frac=0.00,0.9588,27.0,57.87,37034
MPI-exact,"n=2,frac=0.55",0.9804,16.1,96.96,62056
MPI-LSH,"n=2,frac=0.70",0.9728,10.0,156.33,100052
MPI-LSH,"n=2,frac=0.725",0.9736,8.5,184.63,118163
MPI-LSH,"n=2,frac=0.75",0.9739,8.0,195.29,124984
MPI-LSH,"n=2,frac=0.8",0.9757,8.7,178.59,114300
MPI-LSH,"n=2,frac=0.85",0.9763,9.3,167.25,107039
MPI-LSH,"n=2,frac=0.9",0.9772,9.7,161.40,103295
MPI-LSH,"n=2,frac=0.95",0.9787,10.2,152.70,97731
MPI-LSH,"n=2,frac=1.0",0.9803,11.3,138.79,88825
